id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
5252;Excelsior Rotterdam - Vitesse;2011-09-25 14:30;159;\N;171;\N
5253;Heracles - De Graafschap;2011-09-30 18:00;165;2;158;\N
5254;Vitesse - Heerenveen;2011-10-01 17:45;171;1;164;\N
5255;Roda JC Kerkrade - NAC Breda;2011-10-01 18:45;169;4;166;\N
5256;Twente Enschede FC - Excelsior Rotterdam;2011-10-02 12:30;161;2;159;\N
5257;Utrecht - RKC Waalwijk;2011-10-01 16:45;162;3;650;\N
5258;VVV - AZ;2011-10-02 10:30;170;1;156;\N
5259;Groningen - Ajax;2011-10-02 12:30;160;1;157;\N
5260;NEC - PSV;2011-10-02 14:30;69;\N;168;\N
5261;Feyenoord - ADO Den Haag;2011-10-02 12:30;64;\N;155;\N
5262;Ajax - AZ;2011-10-15 16:45;157;2;156;\N
5263;Heracles - Groningen;2011-10-15 18:45;165;2;160;\N
5264;PSV - Utrecht;2011-10-15 18:45;168;1;162;\N
5265;RKC Waalwijk - Twente Enschede FC;2011-10-15 17:45;650;\N;161;\N
5266;Heerenveen - De Graafschap;2011-10-15 17:45;164;1;158;\N
5267;NAC Breda - Excelsior Rotterdam;2011-10-16 15:30;166;2;159;\N
5268;NEC - Vitesse;2011-10-16 10:30;69;\N;171;\N
5269;Roda JC Kerkrade - ADO Den Haag;2011-10-16 12:30;169;4;155;\N
5270;Feyenoord - VVV;2011-10-16 12:30;64;4;170;\N
5271;De Graafschap - NAC Breda;2011-10-21 18:00;158;3;166;\N
5272;ADO Den Haag - NEC;2011-10-22 17:45;155;1;69;\N
5273;VVV - RKC Waalwijk;2011-10-22 16:45;170;4;650;\N
5274;Utrecht - Heerenveen;2011-10-22 18:45;162;1;164;\N
5275;Excelsior Rotterdam - Heracles;2011-10-22 17:45;159;\N;165;\N
5276;AZ - Roda JC Kerkrade;2011-10-23 12:30;156;1;169;\N
5277;Ajax - Feyenoord;2011-10-23 10:30;157;1;64;\N
5278;Vitesse - PSV;2011-10-23 15:30;171;1;168;\N
5279;Groningen - Twente Enschede FC;2011-10-23 12:30;160;1;161;\N
5280;NAC Breda - VVV;2011-10-28 18:00;166;3;170;\N
5281;Roda JC Kerkrade - Ajax;2011-10-29 16:45;169;\N;157;\N
5282;Twente Enschede FC - PSV;2011-10-29 19:45;161;2;168;\N
5283;Heerenveen - ADO Den Haag;2011-10-29 17:45;164;4;155;\N
5284;Excelsior Rotterdam - RKC Waalwijk;2011-10-29 17:45;159;1;650;\N
5285;Heracles - AZ;2011-10-30 15:30;165;\N;156;\N
5286;Groningen - Feyenoord;2011-10-30 13:30;160;6;64;\N
5287;De Graafschap - Vitesse;2011-10-30 11:30;158;\N;171;\N
5288;NEC - Utrecht;2011-10-30 13:30;69;3;162;\N
5289;VVV - Excelsior Rotterdam;2011-11-04 19:00;170;\N;159;\N
5290;NAC Breda - Vitesse;2011-11-05 17:45;166;1;171;\N
5291;RKC Waalwijk - Groningen;2011-11-05 18:45;650;1;160;\N
5292;Roda JC Kerkrade - Heerenveen;2011-11-05 19:45;169;1;164;\N
5293;Twente Enschede FC - De Graafschap;2011-11-06 13:30;161;4;158;\N
5294;AZ - ADO Den Haag;2011-11-06 13:30;156;3;155;\N
5295;PSV - Heracles;2011-11-06 16:30;168;4;165;\N
5296;Utrecht - Ajax;2011-11-06 11:30;162;6;157;\N
5297;Feyenoord - NEC;2011-11-05 20:45;64;\N;69;\N
5298;Ajax - NAC Breda;2011-11-19 19:45;157;2;166;\N
5299;Heracles - Twente Enschede FC;2011-11-19 19:45;165;1;161;\N
5300;De Graafschap - PSV;2011-11-19 17:45;158;1;168;\N
